country_code,ndc_version,blue_carbon_included,unconditional_ecosystems,conditional_ecosystems,unconditional_target_desc,conditional_target_desc,intervention_type,target_type,targets,domestic_pricing,market_status
FJI,Updated NDC (2020),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",Focus on blue finance and NAPs; net-zero by 2050.,Conditional on international support.,Conservation,Conditional,Net-zero by 2050; blue finance and NAPs.,None,No current market
BHS,Updated NDC (2022),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",5.6M tCO₂e sink potential quantified for Andros Island.,,Conservation,Unconditional,5.6M tCO₂e sink potential quantified (Andros).,Carbon Credit Act,Operational (Credits)
MEX,NDC 3.0 (2025),True,"[""Mangroves""]","[""Mangroves""]",Part of 35% reduction target; mentions blue carbon explicitly.,Conditional component dependent on finance.,Conservation + Restoration,Both,35% reduction target; blue carbon explicit.,ETS (Pilot),Operational / Pilot
COL,NDC 3.0 (2025),True,"[""Mangroves"", ""Peatlands""]","[""Mangroves"", ""Peatlands""]",Blue carbon as mitigation and adaptation strategy.,Conditional element dependent on finance.,Conservation + Restoration,Both,Blue carbon as mitigation + adaptation strategy.,Carbon Tax,Operational
PAN,NDC 3.0 (2025),True,"[""Mangroves"", ""Peatlands""]","[""Mangroves"", ""Peatlands""]",Intent to include peatland mitigation in latest update.,,Conservation,Both,Peatland mitigation inclusion proposed.,SMM (ETS planned),Under development
PHL,Updated NDC (2021),True,"[""Mangroves""]","[""Mangroves""]",Minor unconditional component.,75% emission reduction (mostly conditional).,Conservation,Conditional,75% reduction (mostly conditional).,ETS (planned),Under development
CHL,Updated NDC (2020),True,"[""Coastal wetlands""]","[""Coastal wetlands""]",Protection of at least 20 coastal wetlands by 2025.,,Conservation,Unconditional,Protection of ≥20 coastal wetlands by 2025.,Carbon Tax,Operational
BGD,Updated NDC (2021),True,"[""Mangroves (Sundarbans)""]","[""Mangroves (Sundarbans)""]",5% reduction from BAU using domestic resources.,21.85% reduction from BAU with international support.,Conservation,Both,5% unconditional / 21.85% conditional from BAU.,None,No current market
VUT,Updated NDC (2021),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",100% renewable energy target.,Conditional on international finance.,Conservation,Both,100% RE target; blue carbon for resilience.,None,No current market
BLZ,Updated NDC (2021),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",Protection of 12K hectares of mangroves by 2030.,,Conservation,Unconditional,12K ha mangrove protection by 2030.,Carbon Market Regulations,Operational (Credits)
ZAF,Updated NDC (2021),True,"[""Coastal wetlands""]","[""Coastal wetlands""]",Operation Phakisa: ocean-based targets.,Conditional support component.,Conservation,Both,Operation Phakisa ocean-based targets.,Carbon Tax,Operational
THA,Updated NDC (2022),True,"[""Mangroves""]","[""Mangroves""]",30% reduction from BAU using domestic resources.,40% reduction from BAU with international support.,Conservation + Restoration,Both,30–40% from BAU; carbon-pricing strategy.,Carbon Tax (planned),Planned
CPV,Updated NDC (2021),True,"[""Coastal ecosystems""]","[""Coastal ecosystems""]",Significant focus on NbS for SIDS resilience.,Conditional support component.,Conservation,Both,NbS focus for SIDS resilience.,None,No current market
DOM,Updated NDC (2020),True,"[""Mangroves""]","[""Mangroves""]",27% reduction (unconditional + conditional).,,Conservation,Both,27% reduction (combined).,None,No current market
GAB,NDC 3.0 (2025),True,"[""Mangroves""]","[""Mangroves""]",Requested legislation to protect mangroves.,,Conservation,Unconditional,Requested mangrove protection legislation.,None,No current market
NAM,Updated NDC (2021),True,"[""Intertidal biodiversity""]","[""Intertidal biodiversity""]",,Tool to monitor intertidal biodiversity developed (conditional).,Conservation,Conditional,Intertidal biodiversity monitoring tool.,None,No current market
JOR,Updated NDC (2021),True,"[""Coral"", ""Seagrass""]","[""Coral"", ""Seagrass""]",Technical assistance for coral/seagrass protection.,Conditional element dependent on TA.,Conservation,Both,Technical assistance for coral/seagrass protection.,None,No current market
MHL,Updated NDC (2020),True,"[""Coastal protection""]","[""Coastal protection""]",Full decarbonization of domestic shipping by 2050.,,Conservation,Unconditional,Domestic shipping fully decarbonised by 2050.,None,No current market
PLW,NDC 3.0 (2026),True,"[""Mangroves"", ""Seagrass""]","[""Mangroves"", ""Seagrass""]",High reliance on blue carbon for adaptation.,,Conservation,Unconditional,High reliance on blue carbon for adaptation.,None,No current market
SGP,Updated NDC (2022),True,"[""Coastal protection""]","[""Coastal protection""]",Emissions peak by 2030; floating solar and blue carbon focus.,,Conservation,Unconditional,Peaked emissions by 2030; floating solar + blue carbon.,Carbon Tax,Operational
JPN,Updated NDC (2021),True,"[""Seagrass"", ""Mangroves""]","[""Seagrass"", ""Mangroves""]",Blue Carbon Roadmap 2022; GX-ETS development.,,Mitigation,Unconditional,Blue Carbon Roadmap 2022; GX-ETS in development.,GX-ETS,Pilot / Operational
EUU,NDC 3.0 (2025),True,"[""Coastal wetlands""]","[""Coastal wetlands""]",66.25%–72.5% reduction by 2035.,,Mitigation,Unconditional,66.25%–72.5% reduction by 2035.,EU ETS,Operational
ISL,Updated NDC (2020),True,"[""Coastal ecosystems""]","[""Coastal ecosystems""]",Net zero by 2040; strong NbS focus.,,Conservation,Unconditional,Net zero by 2040; NbS focus.,Carbon Tax,Operational
FRA,(Part of EU NDC),True,"[""Tidal marshes""]","[""Tidal marshes""]",Only EU state reporting coastal wetlands in NIR.,,Mitigation,Unconditional,Sole EU state reporting coastal wetlands in NIR.,EU ETS,Operational
NOR,Updated NDC (2022),True,"[""Kelp"", ""Seagrass""]","[""Kelp"", ""Seagrass""]",High focus on kelp restoration as blue carbon.,,Mitigation,Unconditional,Kelp restoration focus.,Carbon Tax,Operational
CAN,NDC 3.0 (2025),True,"[""Coastal ecosystems""]","[""Coastal ecosystems""]",Joined Blue NDC Challenge in Nov 2025.,,Conservation + Restoration,Unconditional,Joined Blue NDC Challenge Nov 2025.,Output-Based Pricing,Operational
TON,Updated NDC (2020),True,"[""Mangroves""]","[""Mangroves""]",Coastal resilience and blue carbon sinks.,Conditional support component.,Conservation,Both,Coastal resilience + blue carbon sinks.,None,No current market
MDV,Updated NDC (2020),True,"[""Coral reefs"", ""Mangroves""]","[""Coral reefs"", ""Mangroves""]",High adaptation focus.,Mitigation co-benefits conditional.,Conservation,Both,Adaptation focus with mitigation co-benefits.,None,No current market
